"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/alp/Projects/rhubarb/src/common.h", "C", 11, 0, 0, 2, 13
"/home/alp/Projects/rhubarb/src/debug.c", "C", 120, 0, 0, 11, 131
"/home/alp/Projects/rhubarb/src/debug.h", "C++", 0, 6, 0, 3, 9
"/home/alp/Projects/rhubarb/src/error.c", "C", 90, 0, 4, 17, 111
"/home/alp/Projects/rhubarb/src/error.h", "C", 9, 0, 0, 6, 15
"/home/alp/Projects/rhubarb/src/main.c", "C", 38, 0, 1, 6, 45
"/home/alp/Projects/rhubarb/src/parse.c", "C", 268, 0, 2, 22, 292
"/home/alp/Projects/rhubarb/src/parse.h", "C", 66, 0, 0, 13, 79
"/home/alp/Projects/rhubarb/src/resolve.c", "C", 128, 0, 23, 16, 167
"/home/alp/Projects/rhubarb/src/resolve.h", "C", 26, 0, 0, 8, 34
"/home/alp/Projects/rhubarb/src/scan.c", "C", 122, 0, 0, 18, 140
"/home/alp/Projects/rhubarb/src/scan.h", "C++", 0, 45, 0, 5, 50
"/home/alp/Projects/rhubarb/src/ty.c", "C", 209, 0, 12, 18, 239
"/home/alp/Projects/rhubarb/src/ty.h", "C++", 0, 24, 13, 11, 48
"Total", "-", 1087, 75, 55, 156, 1373
